,Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,text
51,52,Pump It,The Black Eyed Peas,dance pop,2005,154,93,65,-3,75,74,213,1,18,72,"ha, ha, hapump itha, ha, haand pump it (louder)pump it (louder)pump it (louder)pump it (louder)turn up the radioblast your stereoright (ha, ha, ha)niggas wanna hate on us (who?)niggas be envious (who?)and i know why they hating on us (why?)'cause that's so fabulous (what?)i'ma be real on us (c'mon)nobody got nothing on us (no)girls be all on usfrom london back down to the u.s. (s.s.)we rockin' this (contagious)monkey business (outrageous)just confess, your girl admits that we the shitf-r-e-s-h we (fresh)d-e-f, that's right we def' (rock)we definite, b-e-p we reppin' itsoturn me up (turn it up)turn me up (turn it up)turn me upcome on baby, justpump it (louder)pump it (louder)pump it (louder)pump it (louder)pump it (louder)pump it (louder)and say, ""oh-oh, oh-oh""say, ""oh-oh, oh-oh""yo, yoturn up the radioblast your stereoright now (huh)this joint is fizzlin'it's sizzlin'rightyo, check this out right heredude wanna hate on us (dude)dude need to ease on up (dude)dude wanna act on upbut dude get shut like flava shut (down)chick say she ain't downbut chick backstage when we in town (ha)she like man on drum (boom)she wanna hit 'n' run (err)yeah, that's the speedthat's who we dothat's who we beb-l-a-c-k e-y-e-d p to the ethen the a to the swhen we play, you shake your assshake it, shake it, shake it girlmake sure you don't break it, girl'cause we gonnaturn it up (turn it up)turn it up (turn it up)turn it upcome on baby, justpump it (louder)pump it (louder)pump it (louder)pump it (louder)pump it (louder)pump it (louder)and say, ""oh-oh, oh-oh""say, ""oh-oh, oh-oh""yo, yoturn up the radioblast your stereoright now (huh)this joint is fizzlin'it's sizzlin'rightdamn (damn)damn (damn)damn (damn)damn (damn, oh)damn (damn, oh)apl.de.ap from the philippineslive and direct, rocking this scenebreaking on down for the b-boysand b-girls waiting to do they thingpump it, louder come ondon't stop, and keep it goin'do it, let's get it onmove it!come on, baby, do it (uhh)la-da-dee-da-da-dee-daon the stere-ere-ere-ere-o (huh)let those speakers blow your mind(blow my mind baby)just let it go, let it gohere we go (huh)la-da-dee-da-da-dee-da (come on, yeah)on the radi-adi-adi-adi-o (huh)the system's gonna feel so fi-i-i-i-i-i-ine(i'm fine, yeah, i'm fine and you?)pump it (louder)pump it (louder)pump it (louder)pump it (louder)pump it (louder)pump it (louder)and say, ""oh-oh, oh-oh""say, ""oh-oh, oh-oh""yo, yoturn up the radioblast your stereoright now (uhh)this joint is fizzlin'it's sizzlin'right"
52,53,Break Your Heart,Taio Cruz,dance pop,2010,122,93,61,-4,9,57,202,3,3,71,"whoa, whoawhoa, whoanow listen to me baby (ooh-oh, oh-oh)before i love and leave ya (ooh-oh, oh-oh)they call me heart-breaker (ooh-oh, oh-oh)i don't wanna deceive ya (ooh-oh, oh-oh)if you fall for mei'm not easy to pleasei might tear you aparttold ya from the startbaby from the starti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your heartwhoa, whoathere's no point tryna hide it (ooh-oh, oh-oh)no point tryna evade it (ooh-oh, oh-oh)i know i got a problem (ooh-oh, oh-oh)problem with misbehavin' (ooh-oh, oh-oh)if you fall for mei'm not easy to pleasei might tear you aparttold ya from the startbaby from the starti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your heartwhoa, whoawhoa, whoaeh, and i know karma's gonna get me back for being so cold, ehlike a big, bad wolf, i'm born to be bad, yeah, bad to the bone, ehif you fall for me, i'm only gonna tear you apart, ehtold ya from the start, ehi'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your hearti'm only gonna break, break yourbreak, break your heartwhoa, whoawhoa, whoa"
53,54,Numb / Encore,JAY-Z,east coast hip hop,2004,107,80,69,-4,55,80,205,6,16,71,"yeah, thank you, thank you, thank you, far too kindhaha! yeah, ready? let's gocan i get an encore, do you want more?cookin' raw with the brooklyn boyso for one last time, i need y'all to roaruh, uh, uh, uh (yeah)now what the hell are you waitin' for?after me, there shall be no moreso for one last time, nigga, make some noiseget 'em, jaywho you know fresher than hov? riddle me thatthe rest of y'all know where i'm lyrically atcan't none of y'all mirror me backyeah, hearin' me rap is like hearin' g rap in his primei'm young h.o., rap's grateful deadback to take over the globe, now break breadi'm in boeing jets, global expressout the country but the blueberry still connecton the low, but the yacht got a triple deckbut when you young, what the fuck you expect?grand openin', grand closin'goddamn, your man hov cracked the can open againwho you gon' find doper than him with no pen?just draw off inspirationsoon you gon' see you can't replace himwith cheap imitations for these generationscan i get an encore, do you want more?cookin' raw with the brooklyn boyso for one last time, i need y'all to roarroar, roar, roar (yeah)now what the hell are you waitin' for?after me, there shall be no moreso for one last time, nigga, make some noisewhat the hell are you waitin' for?look what you made me do, look what i made for youknew if i paid my dues, how will they pay you?when you first come in the game, they try to play youthen you drop a couple of hits, look how they wave to you (look how they wave to you)from marcy to madison squareto the only thing that matters in just a matter of yearsas fate would have it, jay's status appearsto be at an all-time high, perfect time to say goodbyewhen i come back like jordan, wearin' the 45it ain't to play games with youit's to aim at you, probably maim youif i owe you, i'm blowin' you to smithereenscocksucker, take one for your teaman' i need you to remember one thing (one thing)i came, i saw, i conqueredfrom record sales to sold out concertsso mo'fucker, if you want this encorei need you to scream 'til your lungs get sore (come on)i'm tired of being what you want me to befeeling so faithless, lost under the surfacedon't know what you're expecting of meput under the pressure of walking in your shoesevery step that i take is another mistake to you(caught in the undertow, just caught in the undertow)and every second i waste is more than i can takei've become so numb, i can't feel you therebecome so tired, so much more awarei'm becoming this, all i want to dois be more like me and be less like youi've become so numbcan i get an encore, do you want more? (more, more, more, more)i've become so numbso for one last time, i need y'all to roarone last time, i need y'all to roar"
54,55,Hate That I Love You,Rihanna,barbadian pop,2008,94,73,64,-5,10,73,219,32,9,71,"yeah, yeahheythat's how much i love you (yeah)that's how much i need you (yeah, yeah, yeah)and i can't stand youmust everything you do make me wanna smilecan i not like you for awhile? (no)but you won't let meyou upset me, girland then you kiss my lipsall of a sudden i forget (that i was upset)can't remember what you didbut i hate ityou know exactly what to doso that i can't stay mad at youfor too long, that's wrongbut i hate ityou know exactly how to touchso that i don't wanna fuss and fight no moresaid i despise that i adore youand i hate how much i love you, boy (yeah)i can't stand how much i need you (i need you)and i hate how much i love you, boy (oh whoa)but i just can't let you goand i hate that i love you so (oh)you completely know the power that you have (power that you have)the only one makes me laugh (makes me laugh)sad and it's not fairhow you take advantage of the factthat ilove you beyond the reason whyand it just ain't rightand i hate how much i love you, girl (ooh)i can't stand how much i need you (yeah)and i hate how much i love you, girl (yeah)but i just can't let you go (ooh)but i hate that i love you soone of these days, maybe your magic won't affect me (hmm)and your kiss won't make me weakbut no one in this world knows me the way you know meso you'll probably always have a spell on meyeahoh, oh, ohyeah, yeah, yeah, yeah, yeah, yeahthat's how much i love youhow much i need youhow much i need youhow much i love youthat's how much i love youoh, i need youthat's how much i need youi need youand i hate that i love you soand i hate how much i love you, boyi can't stand how much i need you(i can't stand how much i need you)and i hate how much i love you, boybut i just can't let you go(but i just can't let you go no)and i hate that i love you so (oh)and i hate that i love you so, so"
55,56,Lollipop,Lil Wayne,hip hop,2008,148,43,83,-9,14,45,299,6,8,71,"ow, uh-huh, no homo (young mula, baby)i said, ""he's so sweet, make her wanna lick the wrapper""so i let her lick the rappershe-she-she lick me like a lollipop (yeah)she-she lick me like a lollipop, lollipop (yeah)sh-sh-she lick me like a lollipop, lollipop (yeah)she-she lick me like a lollipopshawty want a thugbottles in the clubshawty wanna humpyou know i like to touch your lovely lady lumps(she lick me like a lollipop)shawty want a thugbottles in the clubshawty wanna humpyou know i like to touch your lovely lady lumps(c'mon, yeah)okay, lil' mama had a swag like mine (yeah)she even wear her hair down her back like mine (yeah)i make her feel right when it's wrong like lyin'man, she ain't never had a love like mine (yeah)but man, i ain't never seen an ass like hersthat pussy in my mouth had me lost for wordsso i told her to back it up, like berp berpand i made that ass jump, like jerp jerpand that's when sheshe-she-she lick me like a lollipop (oh yeah, i like that)she-she lick me like a lollipop, lollipop (oh yeah, i like that)sh-sh-she lick me like a lollipop, lollipop (yeah)she-she lick me like a lollipopshawty want a thug (shawty want a thug)bottles in the club (bottles in the club)shawty wanna humpyou know i like to touch your lovely lady lumpsshawty want a thug (i like that)bottles in the club (hey, i like that)shawty wanna humpyou know i like to touch your lovely lady lumpsokay, after you back it up, then stopdrop it, shawtydrop it like it's hotdrop-drop it like its hotdo-do-do it shawty, don't stopshawty said the nigga that she with ain't shit (yeah)shawty said the nigga that she with ain't this (yeah)shawty said the nigga that she with can't hit (yeah)but, shawty, i'ma hit it, hit it, like i can't missand he can't do this and he don't do thatshawty need a refund, need to bring that nigga backjust like a refund i make her bring that ass backand she bring that ass back, because i like thatshawty want a thug (yeah, i like that)bottles in the club (yeah, i like that)shawty wanna humpyou know i like to touch your lovely lady lumps (yeah)shawty wanna lick, lick, lick, lick, lick me like a lollipopi said, shawty wanna lick, lick, lick, lick, lick me like a lollipopshawty wanna lick me like a lollipop(so i let her lick the rapper) she-she lick me like a lollipopshawty want a thug (shawty want a thug)bottles in the club (bottles in the club)shawty wanna hump (shawty wanna hump)you know i like to touch your lovely lady lumps, statcall me, so i can make it juicy for yacall-ca-call me, s-so i can get it juicy for youcall-ca-call me, s-so i can make it juicy for yacall-call me, s-so i can get it juicy for yacall-call me, so i can make it juicy for yacall-ca-call me, s-so i can get it juicy for youcall-ca-call me, s-so i can make it juicy for yacall-call me, s-so i can get it juicy for yashawty want a thug (i like that)bottles in the club (yeah, i like that)shawty wanna humpyou know i like to touch your lovely lady lumpsi say, shawty want a thugbottles in the clubshawty wanna humpyou know i like to touch your lovely lady lumpsi get her on top, she drop it like it's hotand when i'm at the bottom, she hilary rodhammiddle of the bed, give and gettin' headgive and gettin' head, give and gettin' headi said hmm, mmm (i like that)said hmm, mmm, mmm (yeah, i like that)i said hmm, mmm, mmm (yeah, i like that)mm-hmcall me, so i can come and do it for youcall me, so i can come and prove it for youcall me, so i can make it juicy for youcall me, so i can get it juicy for youshawty wanna lick, lick, lick, lick, lick me like a lollipopshe-she lick me like a lollipop, l-lollipopi said he's so sweet, make her wanna lick the wrapper(what you do?) so i let her lick the rapper"
56,57,Rockstar,Nickelback,alternative metal,2005,144,91,62,-3,34,69,252,5,4,71,"i'm through with standing in line to clubs i'll never get init's like the bottom of the ninth, and i'm never gonna winthis life hasn't turned out quite the way i want it to be(tell me what you want)i want a brand new house on an episode of cribsand a bathroom i can play baseball inand a king-size tub, big enough for ten plus me(uh, so what you need?)i'll need a credit card that's got no limitand a big black jet with a bedroom in itgonna join the mile high club at 37, 000 feet(been there, done that)i want a new tour bus full of old guitarsmy own star on hollywood boulevardsomewhere between cher and james dean is fine for me(so how you gonna do it?)i'm gonna trade this life for fortune and famei'd even cut my hair and changed my name'cause we all just wanna be big rockstarsand live in hilltop houses, driving 15 carsthe girls come easy, and the drugs come cheapwe'll all stay skinny, 'cause we just won't eatand we'll hang out in the coolest barsin the v.i.p. with the movie starsevery good gold digger's gonna wind up thereevery playboy bunny with her bleached blond hair and, wellhey, hey, i wanna be a rockstarhmm, hey, hey, i wanna be a rockstari wanna be great like elvis without the tasselshire eight body guards that love to beat up assholessign a couple autographs, so i can eat my meals for free(i'll have the quesadilla, haha!)i'm gonna dress my ass with the latest fashionget a front door key to the playboy mansiongonna date a centerfold that loves to blow my money for me(so how you gonna do it?)i'm gonna trade this life for fortune and famei'd even cut my hair and changed my name'cause we all just wanna be big rockstarsand live in hilltop houses, driving 15 carsthe girls come easy, and the drugs come cheapwe'll all stay skinny, 'cause we just won't eatand we'll hang out in the coolest barsin the v.i.p. with the movie starsevery good gold digger's gonna wind up thereevery playboy bunny with her bleached blond hairand we'll hide out in the private roomswith the latest dictionary, and today's who's whothey'll get you anything with that evil smileeverybody's got a drug dealer on speed dial, wellhey, hey, i wanna be a rockstari'm gonna sing those songs that offend the censorsgonna pop my pills from a pez dispenseri'll get washed-up singers writing all my songslip sync 'em every night, so i don't get 'em wrongwell, we all just wanna be big rockstarsand live in hilltop houses, driving 15 carsthe girls come easy, and the drugs come cheapwe'll all stay skinny, 'cause we just won't eatand we'll hang out in the coolest barsin the v.i.p. with the movie starsevery good gold digger's gonna wind up thereevery playboy bunny with her bleached blond hairand we'll hide out in the private roomswith the latest dictionary, and today's who's whothey'll get you anything with that evil smileeverybody's got a drug dealer on speed dial, wellhey, hey, i wanna be a rockstarhmm, hey, hey, i wanna be a rockstar"
57,58,I Wanna Love You,Akon,dance pop,2006,100,45,87,-9,31,35,247,4,4,70,"konvictkonvict, music, and you know we upfronti see you windin' and grindin' up on that polei know you see me lookin' at you and you already knowi wanna fuck you (fuck you), you already knowi wanna fuck you (fuck you), you already know, girlmoney in the air as mo' fellgrab you by your coat tail, take you to the motelhoe sale, don't tell, won't tellbaby say, i don't talk, dogg, but she told on me, oh welltake a picture with me, what the flick gon' do?baby stick to me and i'ma stick on youif you pick me then i'ma pick on youd-o double g and i'm here to put this dick on youi'm stuck on pussy and yours is rightrip ridin' the poles and them doors is tightand i'ma get me a shot 'fore the end of the night'cause pussy is pussy and baby your pussy for lifei see you windin' and grindin' up on that polei know you see me lookin' at you and you already knowi wanna fuck you (fuck you), you already knowi wanna fuck you (fuck you), you already know, girlshorty i can see, you ain't lonelyhandful of niggas and they all got cheesesee you lookin' at me now what it's gon' bejust another tease far as i can seetryna get you up out this clubif it means spendin' a couple dubsthrowin' 'bout 30 stacks in the backmake it rain like that 'cause i'm far from a scruband you know my pedigreeex-dealer used to move 'phetaminesgirl i spend money like it don't mean nothingand besides, i got a thing for youi see you windin' and grindin' up on that polei know you see me lookin' at you and you already knowi wanna fuck you (fuck you), you already knowi wanna fuck you (fuck you), you already know, girlmobbin' through the club in a low pressin'i'm sittin' in the back in the smoker's section (just smokin')birds eye, i got a clear viewyou can't see me, but i can see you (baby i see you)hmm, it's cool, we jet, the mood is set, your pussy is wetyou're rubbin' your back and touchin' your neckyour body is movin', you humpin' and jumpin'your titties is bouncin', you smilin' and grinnin' and lookin' at megirl and while your lookin' at me i'm ready to hit the caddyright up on the patio move the patty to the caddybaby you got a phatty, the type i like to marrywantin' to just give you everything and that's kinda scary'cause i'm loving the way you shake your assbouncin', got me tippin' my glassnormally don't get caught up too fastbut i got a thing for youi see you windin' and grindin' up on that polei know you see me lookin' at you and you already knowi wanna fuck you (fuck you), you already knowi wanna fuck you (fuck you), you already knowi see you windin' and grindin' up on that polei know you see me lookin' at you and you already knowi wanna fuck you (fuck you), you already knowi wanna fuck you (fuck you), you already know, girl, girl"
58,59,Crush,David Archuleta,dance pop,2008,162,66,57,-5,7,49,214,1,3,70,"ooh, whoa, whoaooh, whoai hung up the phone tonightsomething happened for the first timedeep inside, it was a rushwhat a rush (what a rush)'cause the possibilitythat you would ever feel the same way about meit's just too muchjust too much (just too much)why do i keep running from the truth?all i ever think about is youyou've got me hypnotized, so mesmerizedand i just got to knowdo you ever think, when you're all aloneall that we could be, where this thing could go?am i crazy or falling in love?is it real or just another crush?do you catch your breath when i look at you?are you holding back, like the way i do?'cause i've tried and tried to walk awaybut i know this crush ain't goin' away, yeah, yeah, yeahgoin' away, yeah, yeah, yeahhas it ever crossed your mindwhen we're hangin', spendin' time girlare we just friends? is there more?is there more? (is there more?)see, it's a chance we've gotta take'cause i believe that we can make this intosomething that will last, last foreverforeverdo you ever think, when you're all aloneall that we could be, where this thing could go?am i crazy or falling in love?is it real or just another crush?do you catch your breath when i look at you?are you holding back, like the way i do?'cause i've tried and tried to walk awaybut i know this crush ain't goin' away, yeah, yeah, yeahgoin' away, yeah, yeah, yeahwhy do i keep running from the truth? (why do i keep running?)all i ever think about is you (all i ever think about)you've got my hypnotized (hypnotized)so mesmerized (mesmerized)and i just got to knowdo you ever think (ever think), when you're all alone (all alone)all that we could be, where this thing could go? (go)am i crazy or falling in love? (crazy)is it real or just another crush? (another crush)do you catch your breath when i look at you? (yeah, yeah)are you holding back, like the way i do?'cause i've tried and tried to walk away (whoa)but i know this crush ain't goin' away, yeah, yeah, yeah(this crush ain't) goin' away, yeah, yeah, yeah (goin' away)goin' away, yeah, yeah, yeah (do you ever think, when you're all alone)(all that we could be, where this thing could go?)goin' away, yeah, yeah, yeah (do you catch your breath when i look at you?)(are you holding back, like the way i do?)goin' away, yeah, yeah, yeah (do you ever think, when you're all alone)(all that we could be, where this thing could go?)"
59,60,Apologize,Timbaland,dance pop,2007,118,60,66,-6,10,8,184,4,3,70,"i'm holding on your ropegot me ten feet off the groundand i'm hearing what you say, but i just can't make a soundyou tell me that you need methen you go and cut me down, but waityou tell me that you're sorrydidn't think i'd turn around, and saythat it's too late to apologize, it's too latei said it's too late to apologize, it's too latei'd take another chance, take a falltake a shot for youand i need you like a heart needs a beatbut it's nothing new, yeah, yeahi loved you with a fire rednow it's turning blue, and you saysorry like the angel heaven let me think was youbut i'm afraidit's too late to apologize, it's too latei said it's too late to apologize, it's too late, whoait's too late to apologize, it's too latei said it's too late to apologize, it's too latei said it's too late to apologize, yeahi said it's too late to apologize, yeahi'm holding on your rope, got me ten feet off the ground"
60,61,7 Days,Craig David,british soul,2001,83,81,66,-7,10,89,235,23,5,70,"you know what?'cause i'm gonna sayyeah, craig david7 dayscheck it out, yeahon my way to see my friends who lived a couple blocks away from me (oh)as i walked through the subwayit must have been about quarter past threein front of me, stood a beautiful honey with a beautiful bodyshe asked me for the timei said it'd cost her name, a six digit number and a date with me tomorrow at ninedid she decline? nodidn't she mind? i don't think sowas it for real? damn surewhat was the deal? a pretty girl aged twenty-fourso was she keen? she couldn't waitcinnamon queen? let me updatewhat did she say? she said she'd love to rendezvousshe asked me what we were gonna dosaid we'd start with a bottle of moët for twomondaytook her for a drink on tuesdaywe were making love by wednesdayand on thursday and friday and saturdaywe chilled on sundayi met this girl on mondaytook her for a drink on tuesdaywe were making love by wednesdayand on thursday and friday and saturdaywe chilled on sundaynine was the time'cause i'll be getting mine and she was looking finesmooth talker, she told meshe'd love to unfold me all night longooh, i loved the way she kicked itfrom the front to back she flipped it (back she flipped it, ooh the way she kicked)and i oh, i, yeahhope that she care'cause i'm a man who'll always be there (oh yeah)i'm not a man to play around, baby (oh yeah)'cause a one night stand isn't really fairfrom the first impression, girl, hmm, you don't seem to be like that'cause there's no need to chat, for there'll be plenty time for thatfrom the subway to my homeendless ringing of my phonewhen you're feeling all aloneall you gotta do is just call me, call memondaytook her for a drink on tuesdaywe were making love by wednesdayand on thursday and friday and saturdaywe chilled on sundayi met this girl on mondaytook her for a drink on tuesdaywe were making love by wednesdayand on thursday and friday and saturdaywe chilled on sundaysince i met this special lady, ooh yeahi can't get her off my mindshe's one of a kindand i ain't about to deny itit's a special kind of thing with youmondaytook her for a drink on tuesdaywe were making love by wednesdayand on thursday and friday and saturdaywe chilled on sundayi met this girl on mondaytook her for a drink on tuesdaywe were making love by wednesdayand on thursday and friday and saturdaywe chilled on sunday"
61,62,Broken Strings,James Morrison,neo mellow,2008,112,72,57,-5,8,32,250,1,3,70,"let me hold you for the last timeit's the last chance to feel againbut you broke menow i can't feel anythingwhen i love you, it's so untruei can't even convince myselfwhen i'm speakingit's the voice of someone elseoh, it tears me upi tried to hold on but it hurts too muchi tried to forgive but it's not enoughto make it all okayyou can't play on broken stringsyou can't feel anythingthat your heart don't want to feeli can't tell you something that ain't realoh, the truth hurts and lies worsehow can i give anymorewhen i love you a little less than before?oh, what are we doing?we are turning into dustplaying house in the ruins of usrunning back through the firewhen there's nothing left to saveit's like chasing the very last trainwhen it's too late, too lateoh, it tears me upi tried to hold on but it hurts too muchi tried to forgive but it's not enoughto make it all okayyou can't play on broken stringsyou can't feel anythingthat your heart don't want to feeli can't tell you something that ain't realoh, the truth hurts and lies worsehow can i give anymore?when i love you a little less than before?but we're running through the firewhen there's nothing left to saveit's like chasing the very last trainwhen we both know it's too late, too lateyou can't play on broken stringsyou can't feel anythingthat your heart don't want to feeli can't tell you something that ain't realoh, the truth hurts and lies worseso how can i give anymorewhen i love you a little less than before?oh, you know that i love you a little less than beforelet me hold you for the last timeit's the last chance to feel again"
62,63,Bleeding Love,Leona Lewis,british soul,2007,104,65,64,-6,15,20,263,19,4,70,"closed off from love, i didn't need the painonce or twice was enough and it was all in vaintime starts to pass, before you know it, you're frozen, oohbut something happened for the very first time with youmy heart melts into the ground, found something trueand everyone's looking 'round, thinking i'm going crazy, ohbut i don't care what they sayi'm in love with youthey try to pull me away, but they don't know the truthmy heart's crippled by the vein that i keep on closingyou cut me open and ikeep bleeding, keep, keep bleeding lovei keep bleeding, i keep, keep bleeding lovekeep bleeding, keep, keep bleeding loveyou cut me openoh yeahtrying hard not to hear, but they talk so loudtheir piercing sounds fill my ears, try to fill me with doubtyet i know that their goal is to keep me from falling, hey, ohbut nothing's greater than the rush that comes with your embraceand in this world of loneliness, i see your faceyet everyone around me thinks that i'm going crazymaybe, maybebut i don't care what they sayi'm in love with youthey try to pull me away, but they don't know the truthmy heart's crippled by the vein that i keep on closingyou cut me open and ikeep bleeding, keep, keep bleeding lovei keep bleeding, i keep, keep bleeding lovekeep bleeding, keep, keep bleeding loveyou cut me openand it's draining all of methough they find it hard to believei'll be wearing these scars for everyone to seei don't care what they sayi'm in love with youthey try to pull me away, but they don't know the truthmy heart's crippled by the vein that i keep on closingoh, you cut me open and ikeep bleeding, keep, keep bleeding lovei keep bleeding, i keep, keep bleeding lovekeep bleeding, keep, keep bleeding loveoh, you cut me open and ikeep bleeding, keep, keep bleeding lovei keep bleeding, i keep, keep bleeding lovekeep bleeding, keep, keep bleeding lovei keepoh, you cut me open and ikeep bleeding, keep, keep bleeding love"
63,64,In My Head,Jason Derulo,dance pop,2010,110,75,76,-4,35,85,199,3,3,69,"jason derulo(beluga heights)(j-j-j-j-j.r.)c'mon, yeaheverybody's looking for love, oh (woo, huh)ain't that the reason you're at this club? oh (huh)you ain't gon' find it dancing with him, no (no)i got a better solution for you, girl, oh (huh)just leave with me now. say the word and we'll go (and we'll go)i'll be your teacher. i'll show you the ropes (you the ropes)you'll see the side of love you'd never knowni can see it goin' down, goin' downin my head, i see you all over mein my head, you fulfill my fantasyin my head, you'll be screamin' loudin my head, it's goin' downin my head, it's goin' downin my head, yeahin my head, oh, yeah, c'monsome dudes know all the right things to say, ayy (ayy, uh)when it comes down to it, it's all just game saidinstead of talking, let me demonstrate, yeah (yeah)get down to business and skip foreplay (foreplay, ayy, yeah)just leave with me now. say the word and we'll go (we can go)i'll be your teacher. i'll show you the ropes (you the ropes)you'll see the side of love you'd never known (never known)i can see it goin' down, goin' downin my head, i see you all over me (baby, all over me)in my head, you fulfill my fantasy (fulfill my fantasy)in my head, you'll be screamin' loudin my head, it's goin' downin my head, it's goin' downin my headbreak it down (ayo, ayo). c'mon on. let's go (ayo)you're singin' to me, baby, in my head right now(ayo, ayo), c'mon, yeah (ayo, ayo)she'll be screamin' out when it all goes downjust leave with me now. say the word and we'll go (and we'll go)i'll be your teacher. i'll show you the ropes (you the ropes)you'll see the side of love you'd never known (never known)i can see it goin' down, goin' downin my head, i see you all over me (head)in my head, you fulfill my fantasy (head)in my head, you'll be screamin' loud (head, oh, oh)in my head, it's goin' downin my head, it's goin' downin my head, i see you all over me (all over you)in my head, you fulfill my fantasy (you do, baby)in my head, you'll be screamin' loud (oh, oh)in my head, it's goin' down (in my head)in my head, it's goin' downit's goin' down in my head"
