,Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,text,Emotion
51,52,All I Want,Kodaline,irish pop,2013,86,41,21,-10,8,16,306,17,4,78,"all i want is nothing moreto hear you knocking at my door'cause if i could see your face once morei could die as a happy man i'm surewhen you said your last goodbyei died a little bit insidei lay in tears in bed all nightalone without you by my sidebut if you loved mewhy did you leave metake my bodytake my bodyall i want isall i need isto find somebodyi'll find somebodyooh ohooh ohooh ohooh oh'cause you brought out the best of mea part of me i'd never seenyou took my soul wiped it cleanour love was made for movie screensbut if you loved mewhy did you leave metake my bodytake my bodyall i want isall i need isto find somebodyi'll find somebodyooh ohooh ohooh ohooh ohooh ahooh ohooh, if you loved mewhy did you leave metake my bodytake my bodyall i want isall i need isto find somebodyi'll find somebodylike you, ooh",Sad
52,53,Youngblood,5 Seconds of Summer,boy band,2018,120,85,60,-5,12,15,203,2,46,77,"remember the words you told me, love me 'til the day i diesurrender my everything 'cause you made me believe you're mineyeah, you used to call me baby, now you calling me by nametakes one to know one, yeahyou beat me at my own damn gameyou push and you push and i'm pulling awaypulling away from youi give and i give and i give and you take, give and you takeyoungbloodsay you want mesay you want meout of your lifeand i'm just a dead man walking tonightbut you need it, yeah, you need itall of the timeyeah, ooh ooh oohyoungbloodsay you want mesay you want meback in your lifeso i'm just a dead man crawling tonight'cause i need it, yeah, i need itall of the timeyeah, ooh ooh oohlately our conversations end like it's the last goodbyeyeah, one of us gets too drunk and calls about a hundred timesso who you been calling, baby, nobody could take my placewhen you're looking at those strangers, hope to god you see my faceyoungbloodsay you want mesay you want meout of your lifeand i'm just a dead man walking tonightbut you need it, yeah, you need itall of the timeyeah, ooh ooh oohyoungbloodsay you want mesay you want meback in your lifeso i'm just a dead man crawling tonight'cause i need it, yeah, i need itall of the timeyeah, ooh ooh oohyou push and you push and i'm pulling awaypulling away from youi give and i give and i give and you take, give and you takeyou're running around and i'm running awayrunning away from you, from youyoungbloodsay you want mesay you want meout of your lifeand i'm just a dead man walking tonightbut you need it, yeah, you need itall of the timeyeah, ooh ooh oohyoungbloodsay you want mesay you want meback in your lifeso i'm just a dead man crawling tonight'cause i need it, yeah, i need itall of the timeyeah, ooh ooh oohyou push and you push and i'm pulling awaypulling away from youi give and i give and i give and you take, give and you takeyoungbloodsay you want mesay you want meout of your life",Sad
53,54,Symphony (feat. Zara Larsson),Clean Bandit,dance pop,2017,123,63,71,-5,14,46,212,26,6,77,"i've been hearing symphoniesbefore, all i heard was silencea rhapsody for you and meand every melody is timelesslife was stringing me alongthen you came and you cut me loosewas solo, singing on my ownnow i can't find the key without youand now your song is on repeatand i'm dancin' on to your heartbeatand when you're gone, i feel incompleteso, if you want the truthi just wanna be part of your symphonywill you hold me tight and not let go?symphonylike a love song on the radiowill you hold me tight and not let go?i'm sorry if it's all too muchevery day you're here, i'm healingand i was runnin' out of lucki never thought i'd find this feeling'cause i've been hearing symphoniesbefore all i heard was silencea rhapsody for you and me(a rhapsody for you and me)and every melody is timelessand now your song is on repeatand i'm dancin' on to your heartbeatand when you're gone, i feel incompleteso, if you want the truthi just wanna be part of your symphonywill you hold me tight and not let go?symphonylike a love song on the radiowill you hold me tight and not let go?ah, ah, ah, ah, ah, ahah ah, ahah, ah, ah, ah, ah, ahah ah, ahand now your song is on repeatand i'm dancin' on to your heartbeatand when you're gone, i feel incompleteso, if you want the truth (oh)i just wanna be part of your symphonywill you hold me tight and not let go?symphonylike a love song on the radiosymphonywill you hold me tight and not let go?symphonylike a love song on the radiowill you hold me tight and not let go?",Sad
54,55,Unsteady,X Ambassadors,indie poptimism,2015,117,67,39,-6,12,20,194,18,6,77,"hold, hold on, hold onto me'cause i'm a little unsteadya little unsteadyhold, hold on, hold onto me'cause i'm a little unsteadya little unsteadymama, come hereapproach, appearand daddy, i'm alone'cause this house don't feel like homeif you love me, don't let go (hold)whoa, if you love me, don't let go (hold)hold, hold on, hold onto me'cause i'm a little unsteadya little unsteadyhold, hold on, hold onto me'cause i'm a little unsteadya little unsteadymother, i knowthat you're tired of being alonedad, i know you're tryingto fight when you feel like flyingbut if you love me, don't let go (hold)whoa, if you love me, don't let go (hold)hold, hold on, hold onto me'cause i'm a little unsteadya little unsteadyhold, hold on, hold onto me'cause i'm a little unsteadya little unsteadyhold, hold on, hold onto me'cause i'm a little unsteadya little unsteady",Sad
55,56,Classic,MKTO,dance pop,2012,102,79,72,-5,16,76,175,4,12,77,"hey! where's the drum?ooh girl you're shininglike a 5th avenue diamondand they don't make you like they used toyou're never going out of styleooh pretty babythis world might have gone crazythe way you saved me, who could blame mewhen i just wanna make you smilei wanna thrill you like michaeli wanna kiss you like princelet's get it on like marvin gayelike hathaway write a song for you like thisyou're over my head, i'm out of my mindthinking i was born in the wrong timeone of a kind, living in a world gone plasticbaby you're so classicbaby you're so classicbaby you, baby you're so classicfour dozen of rosesanything for you to noticeall the way to serenade youdoing it sinatra styleima pick you up in a cadillaclike a gentleman bringin' glamor backkeep it real to real in the way i feeli could walk you down the aislei wanna thrill you like michaeli wanna kiss you like princelet's get it on like marvin gayelike hathaway write a song for you like thisyou're over my head, i'm out of my mindthinking i was born in the wrong timelet's start the rewind, everything is so throwback age (i kinda like it like it)out of my league, old school chiclike a movie star from the silver screenone of a kind living in a world gone plasticbaby you're so classicbaby you're so classicbaby you're so classicbaby you're class and baby you're sicki never met a girl like you ever til we meta star in the 40's, centerfold in the 50'sgot me tripping out like the sixtieshippies queen of the discothequea 70's dream and an 80's besthepburn, beyoncé, marilyn mansongirl you're timeless, just so classicyou're over my head i'm out of my mindthinking i was born in the wrong timelet's start the rewind, everything is so throwback age (i kinda like it like it)out of my league, old school chiclike a movie star from the silver screenyou're one of a kind living in a world gone plasticbaby you're so classicbaby you're so classicbaby you're so classic",Sad
56,57,Time of Our Lives,Pitbull,dance pop,2014,124,80,72,-6,69,72,229,9,6,77,"i knew my rent was gon' be late about a week agoi worked my ass off, but i still can't pay it thoughbut i got just enoughto get off in this clubhave me a good time, before my time is uphey, let's get it nowooh, i want the time of my life (mr. worldwide)oh baby, oohgive me the time of my life (ne-yo)eh, eh, eh (let's get it)let's get it nowthis is the last $20 i gotbut i'ma have a good time ballin' or outtell the bartender, line up some shots'cause i'ma get loose tonightshe's on fire, she's so hoti'm no liar, she burn up the spotlook like mariah, i took another shottold her drop, drop, drop, drop it like it's hotdirty talk, dirty danceshe a freaky girl and i'm a freaky manshe on the rebound, broke up with her exand i'm like rodman, ready on decki told her, ""wanna ride out?"", and she said yeswe didn't go to church, but i got blessedi knew my rent was gon' be late about a week agoi worked my ass off, but i still can't pay it thoughbut i got just enoughto get off in this clubhave me a good time, before my time is uphey, let's get it nowooh, i want the time of my life, yeahoh baby, ooh give me the time of my lifeeh, eh, ehlet's get it nowtonight i'ma lose my mindbetter get yours 'cause i'm gonna get mineparty every night, like my lastmami know the drill, shake that assgo ahead baby let me see what you gotyou know you got the biggest booty in this spotand i just wanna see that thing dropfrom the back to the front to the topyou know me, i'm off in the cutalways like a squirrel, looking for a nutthis isn't for show i'm not talking 'bout lucki'm not talking 'bout love, i'm talking 'bout lustnow let's get loose, have some funforget about bills and the first of the monthit's my night, your night, our night, let's turn it upi knew my rent was gon' be late about a week agoi worked my ass off, but i still can't pay it thoughbut i got just enoughto get off in this clubhave me a good time, before my time is uphey, let's get it nowooh, i want the time of my life, yeahoh baby, ooh give me the time of my lifeeh, eh, ehlet's get it noweverybody goin' through something(everybody goin' through something)i said, everybody goin' through something(everybody goin' through something)so you might as well you roll it uppour it up, drink it up, throw it up tonighti said, everybody goin' through something(everybody goin' through something)said, everybody goin' through something(everybody goin' through something)so you might as well you roll it uppour it up, drink it up, throw it up tonight, yeahthis for everybody going through tough timesbelieve me, been there, done thatbut every day above ground is a great day, remember that (dali!)i knew my rent was gon' be late about a week agoi worked my ass off, but i still can't pay it thoughbut i got just enoughto get off in this clubhave me a good time, before my time is uphey, let's get it nowooh, i want the time of my life, yeahoh baby, ooh give me the time of my lifelet's get it now",Sad
57,58,Please Don't Go,Joel Adams,australian pop,2015,84,77,51,-5,29,24,211,1,6,76,"hmm, hmm, hmmhmm, hmm, hmmhmm, hmm, hmmhmm, hmm, hmmhmm, hmm, hmmhmm, hmm, hmmhmm, hmm, hmmnobody ever knowsnobody ever seesi left my soulback there now i'm too weakmost nights i pray for you to come homepraying to the lordpraying for my soulnow please don't gomost nights i hardly sleep when i'm alonenow please don't go, oh noi think of you whenever i'm aloneso please don't gohmm, hmm, hmmhmm, hmm, hmmhmm, hmm, hmmhmm, hmm, hmm'cause i don't ever want to knowdon't ever want to see things change'cause when i'm living on my owni'll wanna take it back and start againmost nights i pray for you to come homepraying to the lordpraying for my soulnow please don't gomost nights i hardly sleep when i'm alonenow please don't go, oh noi think of you whenever i'm aloneso please don't goi send so many messages you don't replyi gotta figure out what am i missing babesinging now oh oh ohand i need you now, i need your love oh oh ohnow please don't gomost nights i hardly sleep when i'm alonenow please don't go, oh noi think of you whenever i'm aloneso please don'tplease don't goplease don't goplease don't go oh noi think of you whenever i'm aloneso please don't go",Sad
58,59,When You Love Someone,James TW,neo mellow,2019,126,45,68,-6,5,35,217,26,3,76,"come home early after classdon't be hanging 'round the back of the schoolyardi've been called up by a teachershe says she can't even reach you 'cause you're so faryou've been talking with your fistwe didn't raise you up like this, now did wethere've been changes in this housethings that you don't know about in this familyit don't make sense, but neverthelessyou gotta believe us, it's all for the bestit don't make sensethe way things goson, you should knowsometimes moms and dads fall out of lovesometimes two homes are better than onesome things you can't tell your sister 'cause she's still too youngyeah, you'll understandwhen you love someonethere ain't no one here to blameand nothing's going to change with your old friendsyour room will stay the same'cause you'll only be away on the weekendsit don't make sense, but neverthelessyou gotta believe us, it's all for the bestit don't make senseit don't add upwe'll always love you no matter whatsometimes moms and dads fall out of lovesometimes two homes are better than onesome things you can't tell your sister 'cause she's still too youngyeah, you'll understandwhen you love someonewhen you love someonecome home early after classdon't be hanging 'round the back of the schoolyardand if we're crying on the couchdon't let it freak you outthis has been so hardsometimes moms and dads fall out of lovesometimes the best intentions just ain't enoughsome things you can't tell your sister 'cause she's still too youngyeah, you'll understandwhen you love someonewhen you love someonewhen you love someonewhen you love someone",Sad
59,60,I Dont Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2016,118,45,74,-8,33,9,245,6,6,76,"been sitting eyes wide open behind these four walls, hoping you'd call… it's just a cruel existence like there's no point hoping at all… baby, baby, i feel crazy, up all night, all night and every daygive me something, oh, but you say nothingwhat is happening to me?… i don't wanna live forever, 'cause i know i'll be living in vainand i don't wanna fit whereveri just wanna keep calling your name until you come back home… i just wanna keep calling your name until you come back home… i just wanna keep calling your name until you come back home… i'm sitting eyes wide open and i got one thing stuck in my mind… wondering if i dodged a bullet or just lost the love of my life… baby, baby, i feel crazy, up all night, all night and every dayi gave you something, but you gave me nothingwhat is happening to me?… i don't wanna live forever, 'cause i know i'll be living in vainand i don't wanna fit (fit, babe) wherever (wherever)i just wanna keep calling your name until you come back home… i just wanna keep calling your name until you come back home… i just wanna keep calling your name until you come back home… i've been looking sad in all the nicest placesbaby, baby, i feel crazyi see you around in all these empty facesall night, all night and every dayi've been looking sad in all the nicest placesgive me something, oh, but you say nothingnow i'm in a cab, i tell 'em where your place iswhat is happening to me?… i don't wanna live forever, 'cause i know i'll be living in vainand i don't wanna fit whereveri just wanna keep calling your name until you come back home… i just wanna keep calling your name until you come back homei just wanna keep calling your name until you come back home… i just wanna keep calling your name until you come back home… i just wanna keep calling your name until you come back home… i just wanna keep calling your name until you come back home… until you come back home",Sad
60,61,Perfect Strangers,Jonas Blue,dance pop,2018,118,86,73,-4,21,70,197,39,5,76,"you were looking at me like you wanted to staywhen i saw you yesterdayi'm not wasting your timei'm not playing no gamesi see youwho knows the secret tomorrow will holdwe don't really need to know'cause you're here with me now, i don't want you to goyou're here with me now, i don't want you to gomaybe we're perfect strangersmaybe it's not forevermaybe intellect will change usmaybe we'll stay togethermaybe we'll walk awaymaybe we'll realizewe're only humanmaybe we don't need no reasonmaybe we're perfect strangersmaybe it's not forevermaybe intellect will change usmaybe we'll stay togethermaybe we'll walk awaymaybe we'll realizewe're only humanmaybe we don't need no reason whycome on, come on, come overmaybe we don't need no reason whycome on, come on, come overno one but you got me feeling this waythere's so much we can't explainmaybe we're helping each other escapei'm with youwho knows the secret tomorrow will hold?we don't really need to know'cause you're here with me now, i don't want you to goyou're here with me now, i don't want you to gomaybe we're perfect strangersmaybe it's not forevermaybe intellect will change usmaybe we'll stay togethermaybe we'll walk awaymaybe we'll realizewe're only humanmaybe we don't need no reasonmaybe we're perfect strangersmaybe it's not forevermaybe intellect will change usmaybe we'll stay togethermaybe we'll walk awaymaybe we'll realizewe're only humanmaybe we don't need no reason whycome on, come on, come overmaybe we don't need no reason whycome on, come on, come overcome on, come on, come overmaybe we don't need no reason whycome on, come on, come over",Sad
61,62,Friends (with BloodPopÂ®),Justin Bieber,canadian pop,2017,105,73,74,-5,30,62,189,0,4,75,"i was wonderin' 'bout your mamadid she get that job she wanted?sell that car that gave her problems?i'm just curious 'bout her, honest (ooh-ooh)know you're wonderin' why i been callin'?like i got ulterior motivesknow we didn't end this so goodbut you know we had something so goodso i'm wonderin'can we still be friends? (ah-ah)can we still be friends? (ah-ah)doesn't have to end (ah-ah)and if it ends, can we be friends?can we be friends?can we be friends?wonderin' if you've got a bodyto hold you tighter since i left (since i left)wonderin' if you think about me (ooh-ooh)actually, don't answer that (uh-huh)know you're wonderin' why i been callin'?like i got ulterior motivesi know we didn't end this so goodbut you know we had something so goodso i'm wonderin'can we still be friends? (ah-ah)can we still be friends? (ah-ah)doesn't have to end (ah-ah)and if it ends, can we be friends?can we be friends?and if it ends, can we be friends?know you're wonderin' why i been callin'?like i got ulterior motivesknow we didn't end this so goodbut you know we had something so goodi'm wonderin'can we still be friends? (ah-ah)can we still be friends? (ah-ah)doesn't have to end (ah-ah)and if it ends, can we be friends?",Sad
62,63,September Song,JP Cooper,dance pop,2017,96,62,61,-7,9,37,220,5,4,75,"our love was strong as a lionsoft as the cotton you lie intimes we got hot like an ironyou and iour hearts had never been brokenwe were so innocent darlingwe used to talk 'til the morningyou and iwe had that mixtape on every weekendhad it repeating, had it repeatingyou were my september song, summer lasted too longtime moves so slowly, when you're only fifteenyou were my september song, tell me where have you gonedo you remember me, we were only fifteenand i, i remember the chorusthey were singing it for usyou were my september songtell me where have you gonedo you remember me?we were only fifteensometimes i think that i see yourface in the strangest of placesdown on the underground stationpassing byi get a mad sense of dangerfeel like my heart couldn't take itcause if we met we'd be strangersyou and istill i play that mixtape every weekendgot it repeatinggot it repeatingyou were my september songsummer lasted too longtime moves so slowly (so slowly)when you're only fifteenyou were my september songtell me where have you gone?do you remember me?we were only fifteenand i, i remember the chorusthey were singing it for usi hear that september songthat i'm singing alongthinking about you and meoh what a melodyand as the years go byyou will still be my, be my(september song)you are my(september song)you were my september songsummer lasted too longtime moves so slowly (remember)when you're only fifteenyou were my september songtell me where have you gonedo you remember me?we were only fifteenand i, i remember the chorusthey were singing it for usyou were my september songi remember the chorusthey were singing it for us",Sad
63,64,Never Forget You,Zara Larsson,dance pop,2017,146,73,58,-6,27,28,213,0,5,75,"i used to be so happybut without you here i feel so lowi watched you as you left but i can never seem to let you go'cause once upon a time you were my everythingit's clear to see that time hasn't changed a thingit's very deep inside me but i feel there's something you should know, mmhi'll never forget youyou'll always be by my sidefrom the day that i met youi knew that i would love you 'til the day i dieand i will never want much moreand in my heart i will always be surei will never forget youand you'll always be by my side 'til the day i die'til the day i die('til-'til-'til the day i die)('til the day i die)yeahfunny how we both end happy but everything seems alright, oohi wonder what would happenif we went back and put up a fight, oh'cause once upon a time you were my everythingit's clear to see that time hasn't changed a thingso, what in this world do you think could ever take you off my mind?(take you off my mind?)i'll never forget youand you'll always be by my side (by my side)from the day that i met you (day i met you)i knew that i would love you 'til the day i dieand i will never want much moreand in my heart i will always be sure (be sure)i will never forget you (never forget you)and you'll always be by my side 'til the day i diefeeling it, loving iteverything that we doand all along, i knew i had something special with youbut sometimes you just gotta know that these things fall throughbut i'm still tied and i can't hide my connection with youfeeling it, loving iteverything that we doand all along, i knew i had something special with youbut sometimes you just gotta know that these things fall throughi can't hide my connection with you, ohhi'll never forget youand you'll always be by my side (you'll always be by my)from the day that i met you (day that i met you)i knew that i would love you 'til the day i dieand i will never want much moreand in my heart i will always be sure (in my heart, i will be sure)that i will never forget you (never forget you)and you'll always be by my side 'til the day i die (die)'til the day i die, 'til the day i die (yeah)'til the day i die (oh, yeah, yeah)'til the day i die, 'til the day i die (ohh, yeah)'til the day i die (and you will be always be by my side)i'll never forget you(i will never, never, never, never, never, never, never, ne-never)i'll never forget you'til the day i die",Happy
64,65,Say You Won't Let Go,James Arthur,pop,2016,99,56,40,-7,9,48,211,69,5,75,"i met you in the dark, you lit me upyou made me feel as though i was enoughwe danced the night away, we drank too muchi held your hair back whenyou were throwing upthen you smiled over your shoulderfor a minute, i was stone-cold soberi pulled you closer to my chestand you asked me to stay overi said, ""i already told yai think that you should get some rest""i knew i loved you thenbut you'd never know'cause i played it cool when i was scared of letting goi know i needed youbut i never showedbut i wanna stay with you until we're grey and oldjust say you won't let gojust say you won't let goi'll wake you up with some breakfast in bedi'll bring you coffee with a kiss on your headand i'll take the kids to schoolwave them goodbyeand i'll thank my lucky stars for that nightwhen you looked over your shoulderfor a minute, i forget that i'm olderi wanna dance with you right nowoh, and you look as beautiful as everand i swear that everyday you'll get betteryou make me feel this way somehowi'm so in love with youand i hope you knowdarling, your love is more than worth its weight in goldwe've come so far, my dearlook how we've grownand i wanna stay with you until we're grey and oldjust say you won't let gojust say you won't let goi wanna live with youeven when we're ghosts'cause you were always there for me when i needed you mosti'm gonna love you 'tilmy lungs give outi promise 'til death we part like in our vowsso i wrote this song for you, now everybody knowsthat it's just you and me 'til we're grey and oldjust say you won't let gojust say you won't let gojust say you won't let gooh, just say you won't let go",Sad
65,66,Airplanes (feat. Hayley Williams),B.o.B,atl hip hop,2010,93,87,66,-4,4,38,180,11,12,75,"can we pretend that airplanes in the night sky are like shootin' starsi could really use a wish right now, wish right now, wish right nowcan we pretend that airplanes in the night sky are like shootin' starsi could really use a wish right now, wish right now, wish right nowyeah, i could use a dream or a genie or a wishto go back to a place much simpler than this'cause after all the partyin' and smashin' and crashin'and all the glitz and glam and the fashionand all the pandemonium and all the madnessthere comes a time where you fade to the blacknessand when you're starin' at the phone in your lapand you hopin' but them people never call you backbut that's just how the story unfoldsyou get another hand soon after you foldand when your plans unravel in the sandwhat would you wish for, if you had one chance?so airplane, airplane sorry i'm latei'm on my way so don't close that gateif i don't make that, then i'll switch my flightand i'll be right back at it by the end of the nightcan we pretend that airplanes in the night sky are like shootin' starsi could really use a wish right now, wish right now, wish right nowcan we pretend that airplanes in the night sky are like shootin' starsi could really use a wish right now, wish right now, wish right nowyeah, yeah, somebody take me back to the daysbefore this was a job, before i got paidbefore it ever mattered what i had in my bankyeah, back when i was tryna get a tip at subwayand back then i was rappin' for the hell of itbut nowadays we rappin' to stay relevanti'm guessin' that if we can make some wishes out of airplanesthen maybe, oh maybe, i'll go back to the daysbefore the politics that we call the rap gameand back when ain't nobody listened to my mixtapeand back before when i tried to cover up my slangbut this is for decatur, what's up bobby ray?so can i get a wish to end the politics?and get back to the music that started this shitso here i stand and then again i sayi'm hoping we can make some wishes out of airplanescan we pretend that airplanes in the night sky are like shootin' starsi could really use a wish right now, wish right now, wish right nowcan we pretend that airplanes in the night sky are like shootin' starsi could really use a wish right now, wish right now, wish right nowi could really use a wish right nowi, i, i could really use a wish right nowlike, like, like shootin' starsi, i, i could, i could really use a wish right nowa wish, a wish right now",Sad
66,67,Whistle,Flo Rida,dance pop,2012,104,94,75,-6,29,74,225,2,5,75,"can you blow my whistle baby, whistle babylet me knowgirl i'm gonna show you how to do itand we start real slowyou just put your lips togetherand you come real closecan you blow my whistle baby, whistle babyhere we golook, i'm bettin' you like peopleand i'm bettin' you love freak modeand i'm bettin' you like girlsthat give love to girls and stroke your little egoi bet you i'm guilty, your honorthat's just how we live in my genrewho in the hell done paved the road wider?there's only one flo and one ridai'm a damn shame, order more champagnepull a damn hamstring tryna put it on yalet your lips spin back around cornerslow it down, baby, take a little longercan you blow my whistle baby, whistle babylet me knowgirl i'm gonna show you how to do itand we start real slowyou just put your lips togetherand you come real closecan you blow my whistle baby, whistle babyhere we go (hey)whistle baby, whistle baby (hey)whistle baby, whistle baby (hey)whistle baby, whistle baby (hey)whistle baby, whistle babyit's like everywhere i go, my whistle ready to blowshawty don't even know, she can get any for the lowtold me she's not a pro, it's okay, it's under controlshow me soprano 'cause, girl, you can handlebaby, we start slow then you come up and park closegirl, i'm the whistle man, my bugatti the same notesshow me your perfect pitch, you got it, my banjotalented with your lips like you blew out a candleso amusing (amusing)now you can make a whistle with the music (music)hope you ain't got no issues, you can do it (do it)even if it's no picture, never lose it (lose it)can you blow my whistle baby, whistle babylet me knowgirl i'm gonna show you how to do itand we start real slowyou just put your lips togetherand you come real closecan you blow my whistle baby, whistle babyhere we go (hey)whistle baby, whistle baby (hey)whistle baby, whistle babywhistle baby, whistle babywhistle baby, whistle babygo on, girl, you can twerk itlet me see you whistle while you work iti'ma lay back, don't stop it'cause i love it how you drop it, drop it, drop it on menow, shorty, let that whistle blow, oh-oh-ohyeah, baby, make that whistle blow, oh-ohcan you blow my whistle baby, whistle babylet me knowgirl i'm gonna show you how to do itand we start real slowyou just put your lips togetherand you come real closecan you blow my whistle baby, whistle babyhere we goyou blow my whistle babywhistle baby, whistle babyyou blow my whistle babywhistle baby, whistle babyyou blow my whistle babywhistle baby, whistle babyyou blow my whistle babywhistle baby, whistle baby",Sad
67,68,Do It Again,Pia Mia,dance pop,2015,96,56,71,-7,9,41,208,3,5,74,"the memories we shared could last a man a lifetimeit's like truth or dare when you're there, noand i'll admit that i'm scared to lose you to another guybut it's up to you to decide who to lovetonight i'mma break my promisei know i said i'll set you freebut baby you told me to be honestgirl i need you here with meso we can do it againdo it againdo it againdo it againa whole life time would not be enoughcause i wanna love you baby over and overand girl each time i see you shed a teari wanna wipe 'em all up with my kisses and make you smile from ear to eartonight i'mma break my promisei know i said i'll set you freebut baby you told me to be honestgirl i need you here with meso we can do it againdo it againdo it againdo it againdo it againdo it againgirl what are you running from? i'm willing just to give you everything you wantgirl you are always number one i'm saying cause i know you're more than wonderfuland my heart and your heart are as oneand this love will never change, you and me, foreverso we can do it againdo it againdo it againdo it againdo it againdo it again",Sad
68,69,Paris,The Chainsmokers,electropop,2017,100,64,65,-7,9,25,222,2,3,74,"we were staying in paristo get away from your parentsand i thought, ""wow, if i could take this in a shot right nowi don't think that we could work this out""out on the terracei don't know if it's fair, but i thought""how could i let you fall by yourselfwhile i'm wasted with someone else?""if we go down, then we go down togetherthey'll say you could do anythingthey'll say that i was cleverif we go down, then we go down togetherwe'll get away with everythinglet's show them we are betterlet's show them we are betterlet's show them we are betterwe were staying in paristo get away from your parentsyou look so proud standing there, with a frown and a cigaretteposting pictures of yourself on the internetout on the terracewe breathe in the air of this small townon our own, cutting class for the thrill of itgetting drunk on the past we were livin' inif we go down, then we go down togetherthey'll say you could do anythingthey'll say that i was cleverif we go down, then we go down togetherwe'll get away with everythinglet's show them we are betterlet's show them we areshow them we areshow them we areshow them we arelet's show them we are betterwe were staying in parislet's show them we are betterlet's show them we areshow them we areshow them we areshow them we arelet's show them we are betterif we go down, then we go down togetherthey'll say you could do anythingthey'll say that i was cleverif we go down, then we go down togetherwe'll get away with everythinglet's show them we are betterwe were staying in paris (if we go down)we were staying in paris (if we go down)we were staying in paris (if we go down)we were staying in paris (if we go down)let's show them we are better (we were staying in paris)let's show them we are betterlet's show them we are betterif we go downlet's show them we are betterif we go downlet's show them we are betterif we go downlet's show them we are betterlet's show them we are better",Sad
69,70,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,dance pop,2015,95,52,69,-6,11,18,230,12,13,74,"we open with the vultures, kissing the cannibalssure i get lonely, when i'm the onlyonly human in the heaving heat of the animalsbit of brown salt, stinging on my tongue and ii will not waver, i will not wait its turnit will beat, it will burn, burn, burn your love into the groundwith the lips of another'til you get lonely, sure i get lonely, sometimesall my friends are wastedand i hate this clubman i drink too muchanother friday night i wastedmy eyes are black and redi'm crawling back to you babei hate the barpharmacy addict hit a wall street traffic, took the carwe reinvent the wheel just to fall asleep at it, skrrrcrash on the floor, catch the zzz'spoppin' the polar opposite, the nzthip hop and the propaganda say they name brandbut i done seen how the - did my main manthe nights we won't rememberare the nights we won't rememberi'll be gone 'til novemberall my city calls me simbadreams are made for cages niggalions are for real niggadying is for real, niggas dying off of pills niggafriday's are for chill and i escaped the treacheryi just had to rest in peace the recipethe rest of us are praying that the sand will leave a tanif you're up right now, hope you hear what i'm sayinghope you hear what i'm sayingall my friends are wastedand i hate this clubman i drink too muchanother friday night i wastedmy eyes are black and redi'm crawling back to you babedon't even know mesure i get lonely some nightswhen the angels on my shoulderslump my headi'm stuck here with the vultureshissing and circlingyou didn't call me, call me, call me, call mei'm crawling, crawling, crawling back to youall my friends are wastedand i hate this clubman i drink too muchanother friday night i wastedmy eyes are black and redi'm crawling back to you babeall my friends are wastedand i hate this clubman i drink too muchanother friday night i wastedmy eyes are black and redi'm crawling back to you babe",Sad
70,71,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,74,"i mightempty my bank accountand buy that boy with a pipebuy that boy with a pipei might, i mightempty my bank accountand buy that boy with a pipebuy that boy with a pipei mightdo you slide on all your nights like this?do you try on all your nights like this? (i might)put some spotlight on the slidewhatever comes, comes through cleardo you slide on all your nights like this?do you try on all your nights like this? (i might)put some spotlight on the sideand whatever comes, comes through clearall this jewelry ain't no use when it's this darkit's my favorite part, we see the lights, they got so farit went too fast, we couldn't reach it with our armswrist on a wrist, a link of charm (oh yeah)laying, we're still a link apartit's like we could die here all younglike we could dye hair all blondeif we could see in twenty twintwice we could see it 'til the endput that spotlight on her face (spotlight)put that spotlight on her face (ah, yeah)we gon' pipe up and turn up (pipe up)we gon' light up and burn up (burn up)mama too hot like a (like what?)mama too hot like a furnace (furnace)i got a hundred g's in my goyard (g's)my diamonds gon' shine when the lights dark (shine)you and i take a ride down the boulevard (yeah)and your friends really wanna break us apartgood lordgood graciousstarin' at my diamonds while i'm hoppin' out a spaceshipneed your information, take vacation to malaysiayou my baby, the paparazzi flashin' crazyshe swallowed the bottlewhile i sit back and smoke gelatowalk in my mansion, twenty thousand painting, picassobitches be dippin', dabbin' with niggas like a nachotook off her panties, diamonds dancin' like rick riccardoshe havin' itwent to college workin' on her bachelori know you got a past, i got a past, that's in the back of usaverage, i'mma make a million on the averagei'm ridin' with no brain, bitch, i'm out of itdo you slide on all your nights like this?do you try on all your nights like this? (i might)put some spotlight on the slidewhatever comes, comes through cleardo you slide on all your nights like this?do you try on all your nights like this?put some spotlight on the sideand whatever comes, comes through cleari might empty my bank account (ooh)and buy that boy with a pipe (ooh, yeah)buy that boy with a pipei might, i might (slide)empty my bank account (ooh, slide)and buy that boy with a pipe (slide, yeah)buy that boy with a pipei might",Sad
